FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260309,Pina criolla,1.85,2.55,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Frijol castilla,3.97,7.05,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Papaya,2.2,2.7,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Palta fuerte,4.7,8,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Pallar,5.5,8.2,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Olluco largo,3.35,3.9,Tuberculos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Naranja valencia,2.53,4.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Chirimoya cumbe,5,8.05,Frutas,CAJON CHICO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Melon coquito,2.29,2.95,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Uva alfonso lavalett,4,6.9,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Cebolla cabeza roja,1.79,3.8,Hortalizas,SACO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Carne de porcino (corte unico),18.5,20,Carnes y huevos,UNIDAD,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Papa canchan,1.68,2.65,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Zanahoria,2.11,3.45,Hortalizas,SACO MEDIANO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Uva italia,3.58,7.6,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Leche reconstituida (azul) 395 gr,3.67,4.4,Agro-industriales,CAJA,LATA
20260406,PIURA,PIURA,PIURA,200101,20260306,Platano seda congo,1.71,3.85,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Frijol canario,5.53,7.75,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Carne fresca de vacuno,20.25,26.5,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Carne de pollo (eviscerado),9.65,10.1,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Aji rocoto,5.4,6.25,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Fideos nicolini tallarin,4.65,6.8,Agro-industriales,PAQUETE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Aji escabeche,2.42,3.45,Hortalizas,KILOGRAMO,MALLA
20260406,PIURA,PIURA,PIURA,200101,20260306,Limon sutil bolsa,1.7,2.35,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Choclo (tipo cusco),5.36,9.9,Cereales,CIENTO,UNIDAD
20260406,PIURA,PIURA,PIURA,200101,20260306,Aceite clasico botella 900 ml,9.04,10.6,Agro-industriales,CAJA CHICA,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260306,Lenteja,5.05,8.15,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Platano bellaco,2.29,3.65,Frutas,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260306,Huevos rosados,5.65,10.85,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Leche fresca,3,5.15,Agro-industriales,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260306,Haba verde serrana,2.57,4.8,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Garbanzo,5,9.9,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Pina criolla,1.85,2.55,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Frijol castilla,4.01,7.1,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Papaya,2.35,2.7,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Palta fuerte,4.7,8.15,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Pallar,5.65,8.2,Menestras,KILOGRAMO,KILOGRAMO
